time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,gps_valid,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_alt_m,pitot_airspeed_mps,pitot_qbar_pa,mag_heading_deg
0.0,0.0,0.0,20.0,85.0,0.0,8.0,85.37564055396598,18.0,0.0,6.000000000000002,0.0,0.0,0.0,0.0,0.623294571949261,0.0,4455.946741876431,0.2509445034436674,85.37564055396597,1.6599150656151063,1.2226496753673843,101084.96761777384,288.02,0.0,0.0,0.0,311.59999999999997,0.16723345892838024,0.82,nominal,3840.633,nan,pitch_program,13.0,0.0,0.0,-20.05352282957881,-0.0,0.0,-2.6999999999999997,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.0,0.0,-0.047123889803846894,0.0,0.0,16.245030065744547,-0.04331266066330364,0.1766214838206798,0.0016677683591043149,0.0011681274632859406,0.0012765720485123657,1.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,20.771163472887363,85.6269982596741,4465.519226242078,-0.8198733225718878
0.03,2.5645517250134597,0.0,20.232871448975896,85.48505750044866,0.0,7.762381632529857,85.83676149799719,17.99498299623215,0.0,6.265582975204377,0.0,0.0,-8.852781691043555,0.0,1.077128380728056,0.0,4504.109866071047,0.25230053857621076,85.83676149799719,1.6865266590982415,1.2226223293155802,101082.17549763487,288.01848633558166,0.0,0.0,0.0,317.135,0.17020405326460805,0.82,nominal,3882.3915010271253,nan,pitch_program,12.985,0.0,0.0,-1.430813724064029,-0.0,0.0,-1.9384882344384171,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,-0.03383300220212211,0.0,0.0,-0.03383300220212211,0.0,0.0,16.54628619450673,0.01995369509809823,0.5883410029410515,-0.0023625320929420326,-0.1524830294683302,0.0010348809427628788,1.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,20.771163472887363,85.77175942399224,4521.872606980162,-0.8198733225718878
0.06,5.143828111914722,0.0,20.45909762675379,85.97587956337543,0.0,7.540872592596431,86.3059478028821,17.989876874634213,0.0,6.641216969939227,0.0,0.0,-12.52117800641568,0.0,1.6286793835530258,0.0,4553.384697427496,0.25368026844341535,86.30594780288209,1.713805828745433,1.22259576406484,101079.4631138557,288.01701586542606,0.0,0.0,0.0,322.66999999999996,0.17317464760083584,0.82,nominal,3924.99352281831,nan,pitch_program,12.97,0.0,0.0,-0.2987641274098851,-0.0,0.0,-0.9546537702212979,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,-0.016661851506939045,0.0,0.0,-0.016661851506939045,0.0,0.0,16.79972459408678,-0.04136797363120603,1.161122438315872,-0.0027294851928002166,-0.21873695461101123,0.00015730816665046284,1.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,20.34074002901546,86.19887751619912,4614.408917362426,1.4237928368424035
0.09,7.737970349850814,0.0,20.679291277732275,86.47140793120307,0.0,7.339788365949617,86.78235352225393,17.984681635206186,0.0,6.946308959049555,0.0,0.0,-10.16975699990761,0.0,2.09460961546853,0.0,4603.695112992815,0.255081208171905,86.78235352225393,1.7421893014666305,1.2225699076247558,101076.82311485588,288.01558460669474,0.0,0.0,0.0,328.205,0.17614524193706366,0.82,nominal,3968.383013239503,nan,pitch_program,12.955,0.0,0.0,-0.7109678750036691,-0.0,0.0,-0.8084422330907207,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,-0.01410997877960853,0.0,0.0,-0.01410997877960853,0.0,0.0,16.97042817653437,-0.02889875117627034,1.5776834362017198,-0.0013868454467654307,-0.17877814535464906,0.0013325269044479422,1.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,20.34074002901546,87.1550419433883,4600.930362461875,1.4237928368424035
0.12,10.347139905825744,0.0,20.893917465751255,86.97231853249767,0.0,7.1542062672993065,87.26606934102911,17.979397277948074,0.0,7.1246671167983795,0.0,0.0,-5.945276725959548,0.0,2.4221935988164702,0.0,4655.063215921947,0.2565036255324155,87.26606934102911,1.770946617579164,1.222544705351695,101074.24992036329,288.0141895364726,0.0,0.0,0.0,333.73999999999995,0.17911583627329145,0.82,nominal,4012.58276483216,nan,pitch_program,12.94,0.0,0.0,-1.662291767740068,-0.0,0.0,-1.320751953880329,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,-0.02305147019736004,0.0,0.0,-0.02305147019736004,0.0,0.0,17.27009067985587,-0.005497575923867998,1.8086419736474215,0.001061349685093875,-0.10092258480542525,-0.0005470916391786005,1.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,20.653214105983004,87.34629874242009,4615.704532684696,1.2724301176555244
0.15,12.971534540215032,0.0,21.103253935877333,87.47982114630965,0.0,6.977882337535977,87.75767744024918,17.974023802859875,0.0,7.219463573105273,0.0,0.0,-3.159882597719538,0.0,2.6588860391884155,0.0,4707.564325661547,0.25794923244650175,87.75767744024918,1.8000114752812753,1.2225201246015363,101071.7401964117,288.0128288494168,0.0,0.0,0.0,339.275,0.18208643060951926,0.82,nominal,4057.657200063682,nan,pitch_program,12.925,0.0,0.0,-2.300576586080386,-0.0,0.0,-1.9086467332003632,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,-0.033312169751780106,0.0,0.0,-0.033312169751780106,0.0,0.0,17.532922129775113,-0.06740291982753181,1.987191372920166,-0.0007065019313021386,-0.05683682407034215,0.0017811967641120853,1.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,20.653214105983004,87.89294601519131,4640.7716870377235,1.2724301176555244
0.18,15.611373230582457,0.0,21.307489249309093,87.9946230122475,0.0,6.807843781058656,88.25757993518096,17.96856120994159,0.0,7.288955056684481,0.0,0.0,-2.316383069926958,0.0,2.8649887020357157,0.0,4761.255983228179,0.2594192113258229,88.25757993518097,1.829534353256232,1.2224961432048422,101069.29167859157,288.01150131987947,0.0,0.0,0.0,344.81,0.1850570249457471,0.82,nominal,4103.6552974541655,nan,pitch_program,12.91,0.0,0.0,-2.4675087549727976,-0.0,0.0,-2.2439639462638237,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,-0.039164559158348836,0.0,0.0,-0.039164559158348836,0.0,0.0,17.87437276680293,-0.04333559436479433,1.9880070706113988,-0.0027680566631708634,-0.03990237178211334,0.0016191841979894658,1.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,22.347614790905425,88.41795398439702,4723.055935897364,0.8843895901120977
0.21,18.266877756028506,0.0,21.506812908097597,88.51681751486828,0.0,6.644121959616844,88.76582303778157,17.96300949919322,0.0,7.357804600056703,0.0,0.0,-2.2949850552307502,0.0,3.0652008195840246,0.0,4816.15833108593,0.26091369847594703,88.76582303778157,1.859467290788258,1.222472738883723,101066.90209148392,288.01020571609735,0.0,0.0,0.0,350.34499999999997,0.1880276192819749,0.82,nominal,4150.595456592572,nan,pitch_program,12.895,0.0,0.0,-2.4292248296492454,-0.0,0.0,-2.3551204762950766,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,-0.04110460659248615,0.0,0.0,-0.04110460659248615,0.0,0.0,18.08847719226898,-0.0026627980622058707,2.2546105171560265,-0.0017589130177766994,-0.039299727177755615,0.002675670268664082,1.0,19.089023089188178,1.4948848519410596,19.11764563605612,88.2902684894477,-0.10580972908935708,6.46485528801161,22.347614790905425,88.37006394802442,4819.523573742968,0.8843895901120977
0.24,20.93826661693463,0.0,21.701437323073304,89.04629536353741,0.0,6.487480499190155,89.28230575650316,17.95736867061476,0.0,7.420437612739811,0.0,0.0,-2.087767297340503,0.0,3.2535075602067196,0.0,4872.275801643126,0.26243239759269277,89.28230575650316,1.8896157865439227,1.2224498866723768,101064.56888529581,288.0089406574,0.0,0.0,0.0,355.88,0.1909982136182027,0.82,nominal,4198.483460923175,nan,pitch_program,12.88,0.0,0.0,-2.4408305023883026,-0.0,0.0,-2.406546491951012,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,-0.04200215988686438,0.0,0.0,-0.04200215988686438,0.0,0.0,18.378372498068643,0.028326168566416392,2.450667662275414,0.0011581694610636958,-0.036009342783197604,0.0013948103913989957,1.0,19.089023089188178,1.4948848519410596,19.11764563605612,88.2902684894477,-0.10580972908935708,6.46485528801161,21.320105663715264,88.70623722943121,4822.475301439985,-0.5548165827542576
0.27,23.625758783189514,0.0,21.891575158981603,89.58307220849612,0.0,6.337927863609981,89.80699391426569,17.951638724206212,0.0,7.465039190807423,0.0,0.0,-1.4867193439967126,0.0,3.418153601122877,0.0,4929.620156637759,0.2639752087686123,89.80699391426568,1.9198046923581888,1.2224275615771991,101062.28950745935,288.0077047614666,0.0,0.0,0.0,361.41499999999996,0.1939688079544305,0.82,nominal,4247.331093491303,nan,pitch_program,12.865,0.0,0.0,-2.5609555502850703,-0.0,0.0,-2.499191926951447,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,-0.04361912776456436,0.0,0.0,-0.04361912776456436,0.0,0.0,18.702319573683706,-0.04910371383034148,2.60902832675681,0.0017100053021520162,-0.02491249385779999,-0.0017110185661580544,1.0,19.089023089188178,1.4948848519410596,19.11764563605612,88.2902684894477,-0.10580972908935708,6.46485528801161,21.320105663715264,89.76338031891996,4894.67261396363,-0.5548165827542576
